key;label;is_mpi;is_omp;
romeo-c040_3804122;8;true;false;
romeo-c040_3804122_3804122;8.0;true;false;
romeo-c040_3804120;6;true;false;
romeo-c040_3804120_3804120;6.0;true;false;
romeo-c040_3804124;9;true;false;
romeo-c040_3804124_3804124;9.0;true;false;
romeo-c040_3804129;13;true;false;
romeo-c040_3804129_3804129;13.0;true;false;
romeo-c040_3804110;0;true;false;
romeo-c040_3804110_3804110;0.0;true;false;
romeo-c040_3804117;4;true;false;
romeo-c040_3804117_3804117;4.0;true;false;
romeo-c040_3804128;12;true;false;
romeo-c040_3804128_3804128;12.0;true;false;
romeo-c040_3804114;2;true;false;
romeo-c040_3804114_3804114;2.0;true;false;
romeo-c040_3804131;15;true;false;
romeo-c040_3804131_3804131;15.0;true;false;
romeo-c040_3804126;10;true;false;
romeo-c040_3804126_3804126;10.0;true;false;
romeo-c040_3804116;3;true;false;
romeo-c040_3804116_3804116;3.0;true;false;
romeo-c040_3804127;11;true;false;
romeo-c040_3804127_3804127;11.0;true;false;
romeo-c040_3804119;5;true;false;
romeo-c040_3804119_3804119;5.0;true;false;
romeo-c040_3804130;14;true;false;
romeo-c040_3804130_3804130;14.0;true;false;
romeo-c040_3804121;7;true;false;
romeo-c040_3804121_3804121;7.0;true;false;
romeo-c040_3804112;1;true;false;
romeo-c040_3804112_3804112;1.0;true;false;
