ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 71;ft.C.x;ft.f90:1184-1188;fftz2;Innermost;2.3450000286102;2.096419095993;16.906589508057;1.06;2.13;2.83;1.42;1;93.33;24.17;2.83;2.67;1.33;1.00;2.00
Loop 4;ft.C.x;ft.f90:207-208;ft;Innermost;2.1300001144409;2.0613429546356;16.623718261719;1.00;1.57;3.67;1.83;1;80.00;22.50;3.67;3.67;2.33;1.00;2.00
Loop 82;ft.C.x;ft.f90:1396-1396;transpose_x_yz;Innermost;1.4950001239777;1.4778909683228;11.91846370697;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 91;ft.C.x;ft.f90:1326-1327;transpose2_local;Innermost;1.0750000476837;0.96772265434265;7.8042073249817;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 95;ft.C.x;ft.f90:1332-1334;transpose2_local;Innermost;0.7600000500679;0.65391737222672;5.273521900177;1.00;1.00;2.67;16.00;3;97.47;24.68;21.33;21.33;21.33;8.00;1.33
Loop 41;ft.C.x;ft.f90:916-917;cffts1;Innermost;0.80000001192093;0.65329104661942;5.2684712409973;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 72;ft.C.x;ft.f90:1182-1182,ft.f90:1187-1189;fftz2;InBetween;0.48000001907349;0.41590151190758;3.3540410995483;1.00;1.00;8.55;3.33;14;0.00;11.83;23.33;23.33;23.33;2.73;7.00
Loop 51;ft.C.x;ft.f90:963-963;cffts2;Innermost;0.35999998450279;0.29376173019409;2.3690440654755;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 38;ft.C.x;ft.f90:928-929;cffts1;Innermost;0.35499998927116;0.26776790618896;2.159416437149;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 75;ft.C.x;ft.f90:1184-1188;fftz2;Innermost;0.28499999642372;0.24302677810192;1.9598914384842;1.05;1.67;3.08;1.67;1;83.33;22.92;3.33;3.17;2.00;1.08;2.00
Loop 86;ft.C.x;ft.f90:1396-1396;transpose_xy_z;Innermost;0.17499999701977;0.17099563777447;1.3789957761765;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 68;ft.C.x;ft.f90:1130-1130;cfftz;Innermost;0.1950000077486;0.14406226575375;1.1617913246155;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 70;ft.C.x;ft.f90:1168-1168,ft.f90:1182-1182,ft.f90:1189-1190;fftz2;Outermost;0.16500000655651;0.12464517354965;1.0052020549774;3.59;1.47;6.14;6.08;15;2.63;11.55;13.17;3.67;8.96;2.15;2.17
Loop 48;ft.C.x;ft.f90:975-975;cffts2;Innermost;0.18000000715256;0.12182656675577;0.98247134685516;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 147;ft.C.x;randi8.f90:60-62;vranlc;Single;0.079999998211861;0.07140477001667;0.5758444070816;1.00;1.95;8.00;1.00;1;23.08;15.38;8.00;8.00;4.11;1.00;8.00
Loop 76;ft.C.x;ft.f90:1182-1182,ft.f90:1187-1189;fftz2;InBetween;0.055000003427267;0.039773710072041;0.32075542211533;1.00;1.00;8.73;3.29;14;0.00;12.00;23.00;23.00;23.00;2.64;7.00
Loop 66;ft.C.x;ft.f90:1130-1132;cfftz;Outermost;0.045000001788139;0.02254887484014;0.18184559047222;2.21;1.00;8.83;2.21;21;20.00;14.38;8.83;4.00;8.83;1.00;4.00
Loop 3;ft.C.x;ft.f90:144-144,ft.f90:208-210;ft;InBetween;0.035000000149012;0.016598477959633;0.13385856151581;1.00;1.00;6.76;2.96;8;0.00;12.17;11.83;11.83;11.83;1.75;4.00
Loop 46;ft.C.x;ft.f90:975-977;cffts2;InBetween;0.025000000372529;0.010961259715259;0.088397167623043;2.48;1.00;7.29;2.58;21;18.18;14.20;10.33;4.17;10.33;1.42;4.00
Loop 74;ft.C.x;ft.f90:1168-1168,ft.f90:1182-1182,ft.f90:1189-1190;fftz2;Outermost;0.02000000141561;0.010648080147803;0.085871532559395;3.43;1.00;6.14;6.08;15;7.69;12.10;13.17;3.83;13.17;2.15;2.17
Loop 29;ft.C.x;ft.f90:703-705;compute_indexmap;Innermost;0.025000000372529;0.010021721944213;0.080820262432098;1.13;1.17;2.72;5.67;1;92.86;22.32;5.67;5.00;4.83;2.08;1.00
Loop 49;ft.C.x;ft.f90:963-965;cffts2;InBetween;0.02000000141561;0.0065767550840974;0.05303829908371;2.32;1.00;7.73;2.42;21;18.18;14.20;9.67;4.17;9.67;1.25;4.00
