loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
71;ft.C.x;fftz2;19;ft.f90:1184-1188;Innermost;17.295965194702;2.1299998760223;;;;;;17.295965194702;2.1299998760223;;;;;;;;;;;;;;;;
4;ft.C.x;ft;6;ft.f90:207-208;Innermost;15.753133773804;1.9399999380112;;;;;;15.753133773804;1.9399999380112;;;;;;;;;;;;;;;;
82;ft.C.x;transpose_x_yz;21;ft.f90:1396-1396;Innermost;11.855451583862;1.460000038147;;;;;;11.855451583862;1.460000038147;;;;;;;;;;;;;;;;
91;ft.C.x;transpose2_local;23;ft.f90:1326-1327;Innermost;7.6329612731934;0.93999993801117;;;;;;7.6329612731934;0.93999993801117;;;;;;;;;;;;;;;;
41;ft.C.x;cffts1;14;ft.f90:916-917;Innermost;5.9683265686035;0.73500001430511;;;;;;5.9683265686035;0.73500001430511;;;;;;;;;;;;;;;;
95;ft.C.x;transpose2_local;23;ft.f90:1332-1334;Innermost;4.9533047676086;0.60999995470047;;;;;;4.9533047676086;0.60999995470047;;;;;;;;;;;;;;;;
72;ft.C.x;fftz2;19;ft.f90:1182-1182,ft.f90:1187-1189;InBetween;20.016223907471;2.4649999141693;;;;;;2.7202577590942;0.33500003814697;;;;;;;;;;;;;;;;
75;ft.C.x;fftz2;19;ft.f90:1184-1188;Innermost;2.3142490386963;0.28499999642372;;;;;;2.3142490386963;0.28499999642372;;;;;;;;;;;;;;;;
51;ft.C.x;cffts2;15;ft.f90:963-963;Innermost;2.1924464702606;0.26999998092651;;;;;;2.1924464702606;0.26999998092651;;;;;;;;;;;;;;;;
38;ft.C.x;cffts1;14;ft.f90:928-929;Innermost;1.7458369731903;0.21500000357628;;;;;;1.7458369731903;0.21500000357628;;;;;;;;;;;;;;;;
68;ft.C.x;cfftz;18;ft.f90:1130-1130;Innermost;1.380429148674;0.16999998688698;;;;;;1.380429148674;0.16999998688698;;;;;;;;;;;;;;;;
86;ft.C.x;transpose_xy_z;22;ft.f90:1396-1396;Innermost;1.3398283720016;0.16500000655651;;;;;;1.3398283720016;0.16500000655651;;;;;;;;;;;;;;;;
70;ft.C.x;fftz2;19;ft.f90:1168-1168,ft.f90:1182-1182,ft.f90:1189-1190;Outermost;21.356050491333;2.6299998760223;;;;;;1.3398283720016;0.16500000655651;;;;;;;;;;;;;;;;
48;ft.C.x;cffts2;15;ft.f90:975-975;Innermost;0.85261803865433;0.10499998927116;;;;;;0.85261803865433;0.10499998927116;;;;;;;;;;;;;;;;
147;ft.C.x;vranlc;53;randi8.f90:60-62;Single;0.52781116962433;0.064999997615814;;;;;;0.52781116962433;0.064999997615814;;;;;;;;;;;;;;;;
76;ft.C.x;fftz2;19;ft.f90:1182-1182,ft.f90:1187-1189;InBetween;2.4766523838043;0.30499997735023;;;;;;0.162403434515;0.019999999552965;;;;;;;;;;;;;;;;
49;ft.C.x;cffts2;15;ft.f90:963-965;InBetween;2.3142490386963;0.28499999642372;;;;;;0.12180258333683;0.014999999664724;;;;;;;;;;;;;;;;
74;ft.C.x;fftz2;19;ft.f90:1168-1168,ft.f90:1182-1182,ft.f90:1189-1190;Outermost;2.59845495224;0.31999999284744;;;;;;0.12180258333683;0.014999999664724;;;;;;;;;;;;;;;;
46;ft.C.x;cffts2;15;ft.f90:975-977;InBetween;0.97442066669464;0.11999999731779;;;;;;0.12180258333683;0.014999999664724;;;;;;;;;;;;;;;;
66;ft.C.x;cfftz;18;ft.f90:1130-1132;Outermost;1.502231836319;0.18500000238419;;;;;;0.12180258333683;0.014999999664724;;;;;;;;;;;;;;;;
3;ft.C.x;ft;6;ft.f90:144-144,ft.f90:208-210;InBetween;15.834334373474;1.9499999284744;;;;;;0.0812017172575;0.0099999997764826;;;;;;;;;;;;;;;;
29;ft.C.x;compute_indexmap;11;ft.f90:703-705;Innermost;0.04060085862875;0.0049999998882413;;;;;;0.04060085862875;0.0049999998882413;;;;;;;;;;;;;;;;
69;ft.C.x;cfftz;18;ft.f90:1118-1121;Single;0.04060085862875;0.0049999998882413;;;;;;0.04060085862875;0.0049999998882413;;;;;;;;;;;;;;;;
84;ft.C.x;transpose_xy_z;22;ft.f90:1266-1266,ft.f90:1396-1398;InBetween;1.380429148674;0.16999998688698;;;;;;0.04060085862875;0.0049999998882413;;;;;;;;;;;;;;;;
