Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;55000000;12.400012016296;998186;158154991936;15000000;30000000;4576086;0;10000000;0;913134;197970147328;4576099;39594.0294656;0;12.913069725037;38334999680;30000000;50000768;1290000000;
cycles;romeo-c040;_ALL;_ALL;0;55000000;12.400012016296;998186;158154991936;15000000;30000000;4576086;0;10000000;0;913134;197970147328;4576099;39594.0294656;0;12.913069725037;38334999680;30000000;50000768;1290000000;
cycles;romeo-c040;3804122;_ALL;0;0;12.390011787415;137510;9660000000;5000000;0;4576087;0;5000000;0;910116;12390011904;4576099;2478.0023808;0;12.772605895996;2645000000;5000000;5000064;65000000;
cycles;romeo-c040;3804122;3804122;12.505414009094;0;12.390011787415;137510;9660000000;5000000;0;4576087;0;5000000;8.4655160903931;910116;12390011904;4576099;2478.0023808;0;12.772605895996;2645000000;5000000;5000064;65000000;
cycles;romeo-c040;3804120;_ALL;0;5000000;12.370008468628;133985;9839999040;0;0;4576087;0;5000000;0;911670;12370008064;4576099;2474.0016128;0;12.777685165405;2449999936;0;64;70000000;
cycles;romeo-c040;3804120;3804120;12.508815765381;5000000;12.370008468628;133985;9839999040;0;0;4576087;0;5000000;6.8290276527405;911670;12370008064;4576099;2474.0016128;0;12.777685165405;2449999936;0;64;70000000;
cycles;romeo-c040;3804124;_ALL;0;5000000;12.385008811951;138785;10074999232;0;0;4576087;0;0;0;911782;12385008640;4576099;2477.001728;0;12.77299785614;2204999936;5000000;5000064;90000000;
cycles;romeo-c040;3804124;3804124;12.46715927124;5000000;12.385008811951;138785;10074999232;0;0;4576087;0;0;10.424295425415;911782;12385008640;4576099;2477.001728;0;12.77299785614;2204999936;5000000;5000064;90000000;
cycles;romeo-c040;3804129;_ALL;0;5000000;12.380002975464;145968;9870000512;5000000;0;4576087;0;0;0;911729;12380003328;4576099;2476.0006656;0;12.765760421753;2420000000;0;128;80000000;
cycles;romeo-c040;3804129;3804129;12.504849433899;5000000;12.380002975464;145968;9870000512;5000000;0;4576087;0;0;11.072660446167;911729;12380003328;4576099;2476.0006656;0;12.765760421753;2420000000;0;128;80000000;
cycles;romeo-c040;3804110;_ALL;0;0;12.380011558533;998186;9844999744;0;0;4576086;0;0;0;911255;12380011520;4576099;2476.002304;0;12.913069725037;2445000064;0;5000000;85000000;
cycles;romeo-c040;3804110;3804110;12.509900093079;0;12.380011558533;998186;9844999744;0;0;4576086;0;0;11.072872161865;911255;12380011520;4576099;2476.002304;0;12.913069725037;2445000064;0;5000000;85000000;
cycles;romeo-c040;3804117;_ALL;0;0;12.380011558533;130825;9924999680;0;0;4576087;0;0;0;911372;12380011520;4576099;2476.002304;0;12.780547142029;2365000000;0;0;90000000;
cycles;romeo-c040;3804117;3804117;12.515879631042;0;12.380011558533;130825;9924999680;0;0;4576087;0;0;10.43187713623;911372;12380011520;4576099;2476.002304;0;12.780547142029;2365000000;0;0;90000000;
cycles;romeo-c040;3804128;_ALL;0;5000000;12.385009765625;144339;9984999424;0;0;4576087;0;0;0;910072;12385009664;4576099;2477.0019328;0;12.765732765198;2315000000;0;5000064;75000000;
cycles;romeo-c040;3804128;3804128;12.508393287659;5000000;12.385009765625;144339;9984999424;0;0;4576087;0;0;11.070751190186;910072;12385009664;4576099;2477.0019328;0;12.765732765198;2315000000;0;5000064;75000000;
cycles;romeo-c040;3804114;_ALL;0;5000000;12.38000869751;128984;9984999488;0;10000000;4576087;0;0;0;911992;12380008448;4576099;2476.0016896;0;12.783007621765;2295000000;5000000;0;80000000;
cycles;romeo-c040;3804114;3804114;12.592725753784;5000000;12.38000869751;128984;9984999488;0;10000000;4576087;0;0;11.071637153625;911992;12380008448;4576099;2476.0016896;0;12.783007621765;2295000000;5000000;0;80000000;
cycles;romeo-c040;3804131;_ALL;0;15000000;12.385006904602;149419;9984999488;0;0;4576087;0;0;0;911886;12385006592;4576099;2477.0013184;0;12.762466430664;2294999936;0;10000192;80000000;
cycles;romeo-c040;3804131;3804131;12.565011978149;15000000;12.385006904602;149419;9984999488;0;0;4576087;0;0;6.4843664169312;911886;12385006592;4576099;2477.0013184;0;12.762466430664;2294999936;0;10000192;80000000;
cycles;romeo-c040;3804126;_ALL;0;5000000;12.315010070801;140231;9699999296;0;5000000;4576087;0;0;0;913134;12315010048;4576099;2463.0020096;0;12.772903442383;2514999936;0;128;90000000;
cycles;romeo-c040;3804126;3804126;12.500802993774;5000000;12.315010070801;140231;9699999296;0;5000000;4576087;0;0;5.795033454895;913134;12315010048;4576099;2463.0020096;0;12.772903442383;2514999936;0;128;90000000;
cycles;romeo-c040;3804116;_ALL;0;5000000;12.400012016296;129908;9944999040;0;0;4576087;0;0;0;911926;12400012288;4576099;2480.0024576;0;12.782018661499;2354999936;10000000;4999936;80000000;
cycles;romeo-c040;3804116;3804116;12.516562461853;5000000;12.400012016296;129908;9944999040;0;0;4576087;0;0;11.084461212158;911926;12400012288;4576099;2480.0024576;0;12.782018661499;2354999936;10000000;4999936;80000000;
cycles;romeo-c040;3804127;_ALL;0;0;12.390005111694;142343;9960000000;5000000;10000000;4576087;0;0;0;911535;12390004736;4576099;2478.0009472;0;12.769192695618;2340000000;0;0;75000000;
cycles;romeo-c040;3804127;3804127;12.503970146179;0;12.390005111694;142343;9960000000;5000000;10000000;4576087;0;0;11.031903266907;911535;12390004736;4576099;2478.0009472;0;12.769192695618;2340000000;0;0;75000000;
cycles;romeo-c040;3804119;_ALL;0;5000000;12.345013618469;132414;9854999168;0;0;4576087;0;0;0;911726;12345013248;4576099;2469.0026496;0;12.779312133789;2400000064;0;0;85000000;
cycles;romeo-c040;3804119;3804119;12.464218139648;5000000;12.345013618469;132414;9854999168;0;0;4576087;0;0;11.075010299683;911726;12345013248;4576099;2469.0026496;0;12.779312133789;2400000064;0;0;85000000;
