Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;60000000;12.385009765625;297196;158419998976;20000000;35000000;4585046;0;5000000;0;177225;197690107904;4585059;39538.0215808;0;12.877129554749;37750000064;75000000;35000320;1290000000;
cycles;romeo-c040;_ALL;_ALL;0;60000000;12.385009765625;297196;158419998976;20000000;35000000;4585046;0;5000000;0;177225;197690107904;4585059;39538.0215808;0;12.877129554749;37750000064;75000000;35000320;1290000000;
cycles;romeo-c040;3811353;_ALL;0;5000000;12.295004844666;434490;9710000384;5000000;0;4585046;0;0;0;174521;12295005184;4585059;2459.0010368;0;12.740031242371;2485000000;5000000;64;85000000;
cycles;romeo-c040;3811353;3811353;12.454831123352;5000000;12.295004844666;434490;9710000384;5000000;0;4585046;0;0;8.2779293060303;174521;12295005184;4585059;2459.0010368;0;12.740031242371;2485000000;5000000;64;85000000;
cycles;romeo-c040;3811352;_ALL;0;0;12.370009422302;433839;9824999552;0;10000000;4585046;0;0;0;176547;12370009088;4585059;2474.0018176;0;12.742707252502;2449999936;10000000;0;75000000;
cycles;romeo-c040;3811352;3811352;12.504802703857;0;12.370009422302;433839;9824999552;0;10000000;4585046;0;0;5.4599885940552;176547;12370009088;4585059;2474.0018176;0;12.742707252502;2449999936;10000000;0;75000000;
cycles;romeo-c040;3811339;_ALL;0;10000000;12.36500453949;420917;9915000256;0;0;4585046;0;0;0;175279;12365004800;4585059;2473.00096;0;12.754362106323;2355000000;0;0;85000000;
cycles;romeo-c040;3811339;3811339;12.496846199036;10000000;12.36500453949;420917;9915000256;0;0;4585046;0;0;10.386333465576;175279;12365004800;4585059;2473.00096;0;12.754362106323;2355000000;0;0;85000000;
cycles;romeo-c040;3811355;_ALL;0;10000000;12.385009765625;438799;9839999616;5000000;5000000;4585046;0;0;0;177119;12385009664;4585059;2477.0019328;0;12.738320350647;2435000064;0;5000000;85000000;
cycles;romeo-c040;3811355;3811355;12.490640640259;10000000;12.385009765625;438799;9839999616;5000000;5000000;4585046;0;0;9.8767147064209;177119;12385009664;4585059;2477.0019328;0;12.738320350647;2435000064;0;5000000;85000000;
cycles;romeo-c040;3811356;_ALL;0;5000000;12.340006828308;441261;9979999680;0;0;4585046;0;0;0;176495;12340006912;4585059;2468.0013824;0;12.735233306885;2265000000;5000000;0;85000000;
