function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
19;ft.C.x;fftz2;ft.f90:1142-1142,ft.f90:1162-1173,ft.f90:1182-1193;24.158887863159;2.9800000190735;0;0;0;0;0;0.081069059669971;0.0099998721852899;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";fftz2_;;;;;;;;;;
6;ft.C.x;ft;ft.f90:75-75,ft.f90:94-95,ft.f90:102-114,ft.f90:122-164,ft.f90:171-180,ft.f90:204-211,ft.f90:1058-1072,ft.f90:1208-1208,ft.f90:1214-1216;17.146322250366;2.1149997711182;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";MAIN_;;;;;;;;;;
3691;libc.so.6;__memcpy_avx512_unaligned_erms;;16.092412948608;1.9850000143051;0;0;0;0;0;16.092412948608;1.9850000143051;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__memcpy_avx512_unaligned_erms;;;;;;;;;;
23;ft.C.x;transpose2_local;ft.f90:1277-1277,ft.f90:1294-1294,ft.f90:1303-1318,ft.f90:1326-1342;13.579239845276;1.6749999523163;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";transpose2_local_;;;;;;;;;;
25;ft.C.x;transpose2_finish;ft.f90:1378-1378,ft.f90:1391-1403;13.498169898987;1.6649998426437;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";transpose2_finish_;;;;;;;;;;
14;ft.C.x;cffts1;ft.f90:895-895,ft.f90:909-936,ft.f90:1208-1208,ft.f90:1214-1216;7.7421941757202;0.9549999833107;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";cffts1_;;;;;;;;;;
15;ft.C.x;cffts2;ft.f90:942-942,ft.f90:956-983,ft.f90:1208-1208,ft.f90:1214-1216;3.567084312439;0.44000002741814;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";cffts2_;;;;;;;;;;
18;ft.C.x;cfftz;ft.f90:1080-1080,ft.f90:1105-1111,ft.f90:1117-1121,ft.f90:1128-1137;1.2160514593124;0.15000000596046;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";cfftz_;;;;;;;;;;
23;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;0.72963082790375;0.089999996125698;0;0;0;0;0;0.72963082790375;0.089999996125698;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_btl_vader_poll_handle_frag;;;;;;;;;;
45;ft.C.x;vranlc;randi8.f90:57-66;0.60802572965622;0.075000002980232;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";vranlc_;;;;;;;;;;
358;libm.so.6;exp;;0.36481541395187;0.044999998062849;0;0;0;0;0;0.36481541395187;0.044999998062849;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0,0";exp;;;;;;;;;;
21;mca_btl_vader.so;mca_btl_vader_component_progress;;0.36481541395187;0.044999998062849;0;0;0;0;0;0.36481541395187;0.044999998062849;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_btl_vader_component_progress;;;;;;;;;;
636;libm.so.6;f64xsubf128;;0.3242803812027;0.03999999910593;0;0;0;0;0;0.3242803812027;0.03999999910593;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0,0";f64xsubf128;;;;;;;;;;
3697;libc.so.6;__memset_avx512_unaligned_erms;;0.081070095300674;0.0099999997764826;0;0;0;0;0;0.081070095300674;0.0099999997764826;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx512_unaligned_erms;;;;;;;;;;
3710;libc.so.6;__strspn_sse42;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0,0";__strspn_sse42;;;;;;;;;;
3629;libc.so.6;__strchr_evex;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0,0";__strchr_evex;;;;;;;;;;
2055;libc.so.6;__GI___close;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0,0";__GI___close;;;;;;;;;;
1323;libc.so.6;_int_malloc;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";_int_malloc;;;;;;;;;;
1256;libopen-pal.so.40.30.4;opal_timer_linux_get_cycles_sys_timer;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";opal_timer_linux_get_cycles_sys_timer;;;;;;;;;;
411;libc.so.6;__GI_getenv;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";__GI_getenv;;;;;;;;;;
264;libevent_core-2.1.so.7.0.1;event_base_loop;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,0,100";event_base_loop;;;;;;;;;;
182;libopen-pal.so.40.30.4;opal_progress;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";opal_progress;;;;;;;;;;
114;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;0.040535047650337;0.0049999998882413;0;0;0;0;0;0.040535047650337;0.0049999998882413;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0,0";mca_pml_ob1_recv_req_start;;;;;;;;;;
