ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 71;ft.C.x;ft.f90:1184-1188;fftz2;Innermost;2.4649999141693;2.3505754470825;18.979198455811;1.06;2.13;2.83;1.42;1;93.33;24.17;2.83;2.67;1.33;1.00;2.00
Loop 4;ft.C.x;ft.f90:207-208;ft;Innermost;2.1100001335144;2.0542476177216;16.5865650177;1.00;1.57;3.67;1.83;1;80.00;22.50;3.67;3.67;2.33;1.00;2.00
Loop 89;ft.C.x;ft.f90:1396-1396;transpose2_finish;Innermost;1.664999961853;1.6548627614975;13.361821174622;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 79;ft.C.x;ft.f90:1326-1327;transpose2_local;Innermost;1.0550000667572;0.97669172286987;7.886079788208;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 41;ft.C.x;ft.f90:916-917;cffts1;Innermost;0.73499995470047;0.66470170021057;5.3669853210449;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 85;ft.C.x;ft.f90:1332-1332;transpose2_local;Innermost;0.72000002861023;0.64622032642365;5.2177619934082;1.00;1.00;2.67;2.67;1;100.00;25.00;2.67;2.67;2.67;1.00;1.00
Loop 72;ft.C.x;ft.f90:1187-1189;fftz2;InBetween;0.51999998092651;0.44731104373932;3.6117131710052;1.00;1.00;8.66;3.12;14;0.00;12.17;21.83;21.83;21.83;2.52;7.00
Loop 51;ft.C.x;ft.f90:963-963;cffts2;Innermost;0.37500002980232;0.3110503256321;2.5115065574646;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 38;ft.C.x;ft.f90:928-929;cffts1;Innermost;0.2950000166893;0.23618523776531;1.9070250988007;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
Loop 68;ft.C.x;ft.f90:1130-1130;cfftz;Innermost;0.20000000298023;0.15630827844143;1.2620762586594;1.00;1.00;2.67;1.33;1;100.00;25.00;1.33;1.33;1.33;0.50;1.00
